forcing,attribute,n,r,abs_r,rank
VP,q5,388,0.17929219964174592,0.17929219964174592,18
VP,gvf_max,388,-0.16829031232167493,0.16829031232167493,19
VP,gvf_diff,388,-0.16677757038828062,0.16677757038828062,20
VP,q_mean,388,0.16501935036765486,0.16501935036765486,21
VP,lai_diff,388,-0.16270438676084525,0.16270438676084525,22
VP,glim_2nd_class_frac,388,0.160207942749307,0.160207942749307,23
VP,root_depth_99,370,-0.15960701121919324,0.15960701121919324,24
VP,soil_depth_pelletier,388,-0.1588101255014222,0.1588101255014222,25
VP,lai_max,388,-0.15273150898975896,0.15273150898975896,26
VP,low_prec_dur,388,-0.14316411779061414,0.14316411779061414,27
VP,low_q_freq,388,-0.14143684773831672,0.14143684773831672,28
VP,frac_forest,388,0.13024905889865826,0.13024905889865826,29
VP,slope_fdc,388,0.12665472576960932,0.12665472576960932,30
VP,sand_frac,388,0.12439445593094534,0.12439445593094534,31
VP,soil_porosity,388,-0.11638899904165219,0.11638899904165219,32
VP,pet_mean,388,-0.10198801085584444,0.10198801085584444,33
VP,aridity,388,-0.09461095643790754,0.09461095643790754,34
VP,soil_depth_statsgo,388,0.07756199727397017,0.07756199727397017,35
VP,high_q_freq,388,-0.06488626720141863,0.06488626720141863,36
VP,soil_conductivity,388,0.061264480928267515,0.061264480928267515,37
VP,geol_permeability,388,0.056377923546756956,0.056377923546756956,38
VP,high_prec_dur,388,0.0507104170879056,0.0507104170879056,39
VP,low_q_dur,388,-0.04662295611617932,0.04662295611617932,40
VP,high_q_dur,388,0.03335443878439174,0.03335443878439174,41
VP,organic_frac,388,-0.030240125732333683,0.030240125732333683,42
VP,p_mean,388,0.028843336731459033,0.028843336731459033,43
VP,area_gages2,388,0.025368064241994212,0.025368064241994212,44
VP,area_geospa_fabric,388,0.0233879005024661,0.0233879005024661,45
VP,silt_frac,388,-0.019447535389980265,0.019447535389980265,46
VP,max_water_content,388,-0.010218550440048315,0.010218550440048315,47
VP,water_frac,388,0.0064879266300356935,0.0064879266300356935,48
VP,dom_land_cover_frac,388,-0.005971347944541287,0.005971347944541287,49
VP,carbonate_rocks_frac,388,0.002868555687128644,0.002868555687128644,50
