forcing,rank,attribute,n_TE,r_TE,abs_r_TE
Tair,20,clay_frac,593,-0.1297005923239856,0.1297005923239856
Tair,21,silt_frac,593,0.12280238976990576,0.12280238976990576
Tair,22,dom_land_cover_frac,593,0.11728175314594275,0.11728175314594275
Tair,23,gvf_diff,593,-0.11547982547271901,0.11547982547271901
Tair,24,baseflow_index,593,0.11396672470269228,0.11396672470269228
Tair,25,gvf_max,593,0.10491889471876578,0.10491889471876578
Tair,26,glim_2nd_class_frac,593,0.10187246108670997,0.10187246108670997
Tair,27,soil_depth_pelletier,593,-0.10038017257502917,0.10038017257502917
Tair,28,geol_permeability,593,-0.09258702439990711,0.09258702439990711
Tair,29,high_q_freq,592,-0.08821018828682714,0.08821018828682714
Tair,30,hfd_mean,592,-0.07964645738648915,0.07964645738648915
Tair,31,high_prec_dur,593,0.07600284101747466,0.07600284101747466
Tair,32,other_frac,593,0.07298956917184365,0.07298956917184365
Tair,33,lai_max,593,0.07246102288071436,0.07246102288071436
Tair,34,high_q_dur,592,-0.06461601117739174,0.06461601117739174
Tair,35,soil_depth_statsgo,593,-0.06426075924942662,0.06426075924942662
Tair,36,root_depth_99,569,-0.06007104869190553,0.06007104869190553
Tair,37,max_water_content,593,-0.05660497892746408,0.05660497892746408
Tair,38,root_depth_50,569,-0.05209202265438038,0.05209202265438038
Tair,39,low_q_freq,592,-0.03859270103538141,0.03859270103538141
Tair,40,water_frac,593,0.035949440729612786,0.035949440729612786
Tair,41,carbonate_rocks_frac,593,-0.03029263146865304,0.03029263146865304
Tair,42,soil_porosity,593,0.028845183960406962,0.028845183960406962
Tair,43,low_q_dur,592,0.02764225347827512,0.02764225347827512
Tair,44,area_gages2,593,0.026174190378398108,0.026174190378398108
Tair,45,area_geospa_fabric,593,0.02476023518149653,0.02476023518149653
Tair,46,geol_porostiy,590,-0.022285142104321354,0.022285142104321354
Tair,47,soil_conductivity,593,-0.015994982048081408,0.015994982048081408
Tair,48,lai_diff,593,-0.013650127370715609,0.013650127370715609
Tair,49,organic_frac,593,0.001793487746443682,0.001793487746443682
Tair,50,sand_frac,593,-0.00121414866780193,0.00121414866780193
VP,1,low_prec_freq,577,-0.451704861811109,0.451704861811109
VP,2,high_prec_freq,577,-0.4183823314376345,0.4183823314376345
VP,3,runoff_ratio,576,0.36516567118996285,0.36516567118996285
VP,4,q95,576,0.33797655341217897,0.33797655341217897
VP,5,q_mean,576,0.29199014504205656,0.29199014504205656
VP,6,low_prec_dur,577,-0.28697596693866795,0.28697596693866795
VP,7,aridity,577,-0.280056308475937,0.280056308475937
VP,8,p_mean,577,0.2496426523559399,0.2496426523559399
VP,9,slope_fdc,576,0.24324588381483603,0.24324588381483603
VP,10,pet_mean,577,-0.2372317575030756,0.2372317575030756
VP,11,zero_q_freq,576,-0.20321506567472325,0.20321506567472325
VP,12,stream_elas,576,-0.2015122887652467,0.2015122887652467
VP,13,frac_forest,577,0.1898074934106464,0.1898074934106464
VP,14,q5,576,0.1869997651095141,0.1869997651095141
VP,15,frac_snow,577,0.18376428483730772,0.18376428483730772
VP,16,clay_frac,577,-0.1782363648286253,0.1782363648286253
VP,17,silt_frac,577,0.1566661028929774,0.1566661028929774
VP,18,slope_mean,577,0.14706365868004112,0.14706365868004112
VP,19,gvf_max,577,0.14674830973523018,0.14674830973523018
VP,20,high_q_freq,576,-0.12961656698372698,0.12961656698372698
VP,21,lai_max,577,0.12269984734609697,0.12269984734609697
VP,22,low_q_dur,576,-0.11804897206852888,0.11804897206852888
VP,23,high_prec_dur,577,-0.11592458535232467,0.11592458535232467
VP,24,high_q_dur,576,-0.1104430906158432,0.1104430906158432
VP,25,baseflow_index,577,0.10471348149249007,0.10471348149249007
VP,26,p_seasonality,577,-0.10430746627670422,0.10430746627670422
VP,27,geol_permeability,577,-0.09760683379808731,0.09760683379808731
VP,28,dom_land_cover_frac,577,0.09712077911028122,0.09712077911028122
VP,29,low_q_freq,576,-0.09496389062049801,0.09496389062049801
VP,30,lai_diff,577,0.09458507359154542,0.09458507359154542
VP,31,soil_depth_statsgo,577,0.09010874755585029,0.09010874755585029
VP,32,elev_mean,577,0.0882034893031311,0.0882034893031311
VP,33,glim_1st_class_frac,577,-0.08099263838073048,0.08099263838073048
VP,34,max_water_content,577,0.07780021278761642,0.07780021278761642
VP,35,glim_2nd_class_frac,577,0.06665997258345902,0.06665997258345902
VP,36,soil_conductivity,577,0.059296035196650186,0.059296035196650186
VP,37,root_depth_50,554,0.05662524868569543,0.05662524868569543
VP,38,area_gages2,577,0.04881805000512934,0.04881805000512934
VP,39,gvf_diff,577,0.04840249265280447,0.04840249265280447
VP,40,area_geospa_fabric,577,0.047100581395155994,0.047100581395155994
VP,41,soil_porosity,577,0.04078981214982362,0.04078981214982362
VP,42,water_frac,577,0.03882666154648591,0.03882666154648591
VP,43,geol_porostiy,574,-0.0386841750725612,0.0386841750725612
VP,44,sand_frac,577,0.034813899506091615,0.034813899506091615
VP,45,organic_frac,577,0.03328640729067373,0.03328640729067373
VP,46,hfd_mean,576,-0.026926219020473804,0.026926219020473804
VP,47,root_depth_99,554,-0.022503681127877595,0.022503681127877595
VP,48,other_frac,577,0.01999691736261274,0.01999691736261274
VP,49,carbonate_rocks_frac,577,-0.01808799789624904,0.01808799789624904
VP,50,soil_depth_pelletier,577,-0.009430180563373775,0.009430180563373775
